title,genres,director_name,actor1_name,actor2_name,actor3_name,comb
fury,Action Drama War,David Ayer,Brad Pitt,Logan Lerman,Jim Parrack,David Ayer Brad Pitt Logan Lerman Jim Parrack Action Drama War
six days seven nights,Action Adventure Comedy Romance,Ivan Reitman,Harrison Ford,Anne Heche,Amy Sedaris,Ivan Reitman Harrison Ford Anne Heche Amy Sedaris Action Adventure Comedy Romance
yogi bear,Adventure Animation Comedy Family,Eric Brevig,Justin Timberlake,Tom Cavanagh,Josh Robert Thompson,Eric Brevig Justin Timberlake Tom Cavanagh Josh Robert Thompson Adventure Animation Comedy Family
spirit: stallion of the cimarron,Adventure Animation Family Western,Kelly Asbury,Matt Damon,Charles Napier,Zahn McClarnon,Kelly Asbury Matt Damon Charles Napier Zahn McClarnon Adventure Animation Family Western
zookeeper,Comedy Family Romance,Frank Coraci,Rosario Dawson,Leslie Bibb,Nicholas Turturro,Frank Coraci Rosario Dawson Leslie Bibb Nicholas Turturro Comedy Family Romance
lost in space,Action Adventure Family Sci-Fi Thriller,Stephen Hopkins,Gary Oldman,William Hurt,June Lockhart,Stephen Hopkins Gary Oldman William Hurt June Lockhart Action Adventure Family Sci-Fi Thriller
the manchurian candidate,Drama Mystery Sci-Fi Thriller,Jonathan Demme,Denzel Washington,Dorian Missick,Jose Pablo Cantillo,Jonathan Demme Denzel Washington Dorian Missick Jose Pablo Cantillo Drama Mystery Sci-Fi Thriller
déjà vu,Drama Romance,Henry Jaglom,Vanessa Redgrave,Stephen Dillane,Michael Brandon,Henry Jaglom Vanessa Redgrave Stephen Dillane Michael Brandon Drama Romance
hotel transylvania 2,Animation Comedy Family Fantasy,Genndy Tartakovsky,Steve Buscemi,Adam Sandler,Fran Drescher,Genndy Tartakovsky Steve Buscemi Adam Sandler Fran Drescher Animation Comedy Family Fantasy
bewitched            ,Comedy Family Fantasy,Unknown,Elizabeth Montgomery,Agnes Moorehead,Dick York,Unknown Elizabeth Montgomery Agnes Moorehead Dick York Comedy Family Fantasy
fantasia 2000,Animation Family Fantasy Music,James Algar,Quincy Jones,Penn Jillette,Russi Taylor,James Algar Quincy Jones Penn Jillette Russi Taylor Animation Family Fantasy Music
the time machine,Action Adventure Sci-Fi,Simon Wells,Mark Addy,Alan Young,Josh Stamberg,Simon Wells Mark Addy Alan Young Josh Stamberg Action Adventure Sci-Fi
mighty joe young,Action Adventure Family Fantasy Thriller,Ron Underwood,Charlize Theron,Mika Boorem,David Paymer,Ron Underwood Charlize Theron Mika Boorem David Paymer Action Adventure Family Fantasy Thriller
swordfish,Action Crime Thriller,Dominic Sena,Hugh Jackman,Don Cheadle,Sam Shepard,Dominic Sena Hugh Jackman Don Cheadle Sam Shepard Action Crime Thriller
the legend of zorro,Action Adventure Western,Martin Campbell,Michael Emerson,Nick Chinlund,Adrian Alonso,Martin Campbell Michael Emerson Nick Chinlund Adrian Alonso Action Adventure Western
what dreams may come,Drama Fantasy Romance,Vincent Ward,Robin Williams,Annabella Sciorra,Rosalind Chao,Vincent Ward Robin Williams Annabella Sciorra Rosalind Chao Drama Fantasy Romance
little nicky,Comedy Fantasy,Steven Brill,Adam Sandler,Jon Lovitz,Michael McKean,Steven Brill Adam Sandler Jon Lovitz Michael McKean Comedy Fantasy
the brothers grimm,Action Adventure Comedy Fantasy Thriller,Terry Gilliam,Matt Damon,Heath Ledger,Mackenzie Crook,Terry Gilliam Matt Damon Heath Ledger Mackenzie Crook Action Adventure Comedy Fantasy Thriller
mars attacks!,Action Comedy Sci-Fi,Tim Burton,Natalie Portman,Martin Short,Lukas Haas,Tim Burton Natalie Portman Martin Short Lukas Haas Action Comedy Sci-Fi
evolution,Drama Horror Mystery Sci-Fi,Lucile Hadzihalilovic,Nissim Renard,Roxane Duran,Julie-Marie Parmentier,Lucile Hadzihalilovic Nissim Renard Roxane Duran Julie-Marie Parmentier Drama Horror Mystery Sci-Fi
the edge,Action Adventure Drama Thriller,Lee Tamahori,Anthony Hopkins,Harold Perrineau,Bart the Bear,Lee Tamahori Anthony Hopkins Harold Perrineau Bart the Bear Action Adventure Drama Thriller
surrogates,Action Sci-Fi Thriller,Jonathan Mostow,Bruce Willis,Devin Ratray,Boris Kodjoe,Jonathan Mostow Bruce Willis Devin Ratray Boris Kodjoe Action Sci-Fi Thriller
thirteen days,Drama History Thriller,Roger Donaldson,Bruce Greenwood,Jon Foster,Bruce Thomas,Roger Donaldson Bruce Greenwood Jon Foster Bruce Thomas Drama History Thriller
daylight,Action Adventure Drama Thriller,Rob Cohen,Sylvester Stallone,Viggo Mortensen,Amy Brenneman,Rob Cohen Sylvester Stallone Viggo Mortensen Amy Brenneman Action Adventure Drama Thriller
walking with dinosaurs 3d,Adventure Animation Family,Barry Cook,Charlie Rowe,Tiya Sircar,Madison Rothschild,Barry Cook Charlie Rowe Tiya Sircar Madison Rothschild Adventure Animation Family
battlefield earth,Action Adventure Sci-Fi,Roger Christian,Richard Tyson,Michael Byrne,John Topor,Roger Christian Richard Tyson Michael Byrne John Topor Action Adventure Sci-Fi
looney tunes: back in action,Adventure Animation Comedy Family Fantasy Sci-Fi,Joe Dante,Brendan Fraser,Jenna Elfman,Heather Locklear,Joe Dante Brendan Fraser Jenna Elfman Heather Locklear Adventure Animation Comedy Family Fantasy Sci-Fi
nine,Drama Musical Romance,Rob Marshall,Fergie,Elio Germano,Andrea Di Stefano,Rob Marshall Fergie Elio Germano Andrea Di Stefano Drama Musical Romance
timeline,Action Adventure Sci-Fi,Richard Donner,Paul Walker,Gerard Butler,Ethan Embry,Richard Donner Paul Walker Gerard Butler Ethan Embry Action Adventure Sci-Fi
the postman,Action Adventure Drama Sci-Fi,Kevin Costner,Olivia Williams,Brian Anthony Wilson,Larenz Tate,Kevin Costner Olivia Williams Brian Anthony Wilson Larenz Tate Action Adventure Drama Sci-Fi
babe: pig in the city,Adventure Comedy Drama Family Fantasy,George Miller,Adam Goldberg,Elizabeth Daily,Glenne Headly,George Miller Adam Goldberg Elizabeth Daily Glenne Headly Adventure Comedy Drama Family Fantasy
the last witch hunter,Action Adventure Fantasy,Breck Eisner,Vin Diesel,Joseph Gilgun,Lotte Verbeek,Breck Eisner Vin Diesel Joseph Gilgun Lotte Verbeek Action Adventure Fantasy
red planet,Action Sci-Fi Thriller,Antony Hoffman,Bob Neill,Val Kilmer,Tom Sizemore,Antony Hoffman Bob Neill Val Kilmer Tom Sizemore Action Sci-Fi Thriller
arthur and the invisibles,Adventure Animation Family Fantasy,Luc Besson,Mia Farrow,Adam LeFevre,Penny Balfour,Luc Besson Mia Farrow Adam LeFevre Penny Balfour Adventure Animation Family Fantasy
oceans,Documentary Drama,Jacques Perrin,Pedro Armendáriz Jr.,Jacques Perrin,Rie Miyazawa,Jacques Perrin Pedro Armendáriz Jr. Jacques Perrin Rie Miyazawa Documentary Drama
a sound of thunder,Action Adventure Horror Sci-Fi Thriller,Peter Hyams,David Oyelowo,Catherine McCormack,Jemima Rooper,Peter Hyams David Oyelowo Catherine McCormack Jemima Rooper Action Adventure Horror Sci-Fi Thriller
pompeii,Action Adventure Drama History Romance,Paul W.S. Anderson,Sasha Roiz,Currie Graham,Dylan Schombing,Paul W.S. Anderson Sasha Roiz Currie Graham Dylan Schombing Action Adventure Drama History Romance
top cat begins,Animation Family,Andrés Couturier,Sariann Monaco,David Hoffman,Ben Diskin,Andrés Couturier Sariann Monaco David Hoffman Ben Diskin Animation Family
a beautiful mind,Biography Drama,Ron Howard,Adam Goldberg,Austin Pendleton,Judd Hirsch,Ron Howard Adam Goldberg Austin Pendleton Judd Hirsch Biography Drama
the lion king,Adventure Animation Drama Family Musical,Roger Allers,Matthew Broderick,Nathan Lane,Niketa Calame,Roger Allers Matthew Broderick Nathan Lane Niketa Calame Adventure Animation Drama Family Musical
journey 2: the mysterious island,Action Adventure Comedy Family Fantasy Sci-Fi,Brad Peyton,Josh Hutcherson,Dwayne Johnson,Kristin Davis,Brad Peyton Josh Hutcherson Dwayne Johnson Kristin Davis Action Adventure Comedy Family Fantasy Sci-Fi
cloudy with a chance of meatballs 2,Animation Comedy Family Fantasy Sci-Fi,Cody Cameron,Will Forte,Khamani Griffin,Melissa Sturm,Cody Cameron Will Forte Khamani Griffin Melissa Sturm Animation Comedy Family Fantasy Sci-Fi
red dragon,Crime Drama Thriller,Brett Ratner,Philip Seymour Hoffman,Anthony Hopkins,Emily Watson,Brett Ratner Philip Seymour Hoffman Anthony Hopkins Emily Watson Crime Drama Thriller
hidalgo,Action Adventure Western,Joe Johnston,J.K. Simmons,Viggo Mortensen,Peter Mensah,Joe Johnston J.K. Simmons Viggo Mortensen Peter Mensah Action Adventure Western
jack and jill,Comedy,Dennis Dugan,Al Pacino,Adam Sandler,Tim Meadows,Dennis Dugan Al Pacino Adam Sandler Tim Meadows Comedy
2 fast 2 furious,Action Crime Thriller,John Singleton,Paul Walker,Cole Hauser,Mo Gallini,John Singleton Paul Walker Cole Hauser Mo Gallini Action Crime Thriller
the little prince,Adventure Animation Drama Family Fantasy,Mark Osborne,Jeff Bridges,James Franco,Mackenzie Foy,Mark Osborne Jeff Bridges James Franco Mackenzie Foy Adventure Animation Drama Family Fantasy
the invasion,Sci-Fi Thriller,Oliver Hirschbiegel,Roger Rees,Veronica Cartwright,Jeremy Northam,Oliver Hirschbiegel Roger Rees Veronica Cartwright Jeremy Northam Sci-Fi Thriller
the adventures of rocky & bullwinkle,Adventure Animation Comedy Family Fantasy,Des McAnuff,Robert De Niro,Janeane Garofalo,Jonathan Winters,Des McAnuff Robert De Niro Janeane Garofalo Jonathan Winters Adventure Animation Comedy Family Fantasy
the secret life of pets,Animation Comedy Family,Yarrow Cheney,Steve Coogan,Eric Stonestreet,Albert Brooks,Yarrow Cheney Steve Coogan Eric Stonestreet Albert Brooks Animation Comedy Family
the league of extraordinary gentlemen,Action Adventure Fantasy Sci-Fi,Stephen Norrington,Jason Flemyng,Max Ryan,Tony Curran,Stephen Norrington Jason Flemyng Max Ryan Tony Curran Action Adventure Fantasy Sci-Fi
despicable me 2,Animation Comedy Family Sci-Fi,Pierre Coffin,Steve Carell,Miranda Cosgrove,Steve Coogan,Pierre Coffin Steve Carell Miranda Cosgrove Steve Coogan Animation Comedy Family Sci-Fi
independence day,Action Adventure Sci-Fi,Roland Emmerich,Will Smith,Adam Baldwin,Mary McDonnell,Roland Emmerich Will Smith Adam Baldwin Mary McDonnell Action Adventure Sci-Fi
the lost world: jurassic park,Action Adventure Sci-Fi,Steven Spielberg,Ariana Richards,Richard Schiff,Vanessa Lee Chester,Steven Spielberg Ariana Richards Richard Schiff Vanessa Lee Chester Action Adventure Sci-Fi
madagascar,Adventure Animation Comedy Family,Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,Eric Darnell Jada Pinkett Smith Cedric the Entertainer Andy Richter Adventure Animation Comedy Family
children of men,Drama Sci-Fi Thriller,Alfonso Cuarón,Charlie Hunnam,Danny Huston,Rita Davies,Alfonso Cuarón Charlie Hunnam Danny Huston Rita Davies Drama Sci-Fi Thriller
x-men,Action Adventure Sci-Fi,Bryan Singer,Hugh Jackman,Tyler Mane,Bruce Davison,Bryan Singer Hugh Jackman Tyler Mane Bruce Davison Action Adventure Sci-Fi
wanted,Action Crime Fantasy Thriller,Timur Bekmambetov,Angelina Jolie Pitt,Morgan Freeman,Common,Timur Bekmambetov Angelina Jolie Pitt Morgan Freeman Common Action Crime Fantasy Thriller
the rock,Action Adventure Thriller,Michael Bay,Nicolas Cage,Michael Biehn,Bokeem Woodbine,Michael Bay Nicolas Cage Michael Biehn Bokeem Woodbine Action Adventure Thriller
ice age: the meltdown,Action Adventure Animation Comedy Family Fantasy,Carlos Saldanha,Denis Leary,Ray Romano,Jay Leno,Carlos Saldanha Denis Leary Ray Romano Jay Leno Action Adventure Animation Comedy Family Fantasy
50 first dates,Comedy Romance,Peter Segal,Adam Sandler,Peter Dante,Allen Covert,Peter Segal Adam Sandler Peter Dante Allen Covert Comedy Romance
hairspray,Comedy Drama Family Music Musical Romance,Adam Shankman,Jerry Stiller,Elijah Kelley,Paul Dooley,Adam Shankman Jerry Stiller Elijah Kelley Paul Dooley Comedy Drama Family Music Musical Romance
exorcist: the beginning,Horror Mystery Thriller,Renny Harlin,James D'Arcy,Alan Ford,Izabella Scorupco,Renny Harlin James D'Arcy Alan Ford Izabella Scorupco Horror Mystery Thriller
inspector gadget,Action Adventure Comedy Family Sci-Fi,David Kellogg,Matthew Broderick,Rene Auberjonois,Rupert Everett,David Kellogg Matthew Broderick Rene Auberjonois Rupert Everett Action Adventure Comedy Family Sci-Fi
now you see me,Crime Mystery Thriller,Louis Leterrier,Morgan Freeman,Common,Michael Kelly,Louis Leterrier Morgan Freeman Common Michael Kelly Crime Mystery Thriller
grown ups,Comedy,Dennis Dugan,Steve Buscemi,Adam Sandler,Salma Hayek,Dennis Dugan Steve Buscemi Adam Sandler Salma Hayek Comedy
the terminal,Comedy Drama,Steven Spielberg,Tom Hanks,Chi McBride,Barry Shabaka Henley,Steven Spielberg Tom Hanks Chi McBride Barry Shabaka Henley Comedy Drama
constantine            ,Drama Fantasy Horror Thriller,Unknown,Harold Perrineau,Matt Ryan,Charles Halford,Unknown Harold Perrineau Matt Ryan Charles Halford Drama Fantasy Horror Thriller
hotel for dogs,Comedy Family,Thor Freudenthal,Don Cheadle,Kevin Dillon,Yvette Nicole Brown,Thor Freudenthal Don Cheadle Kevin Dillon Yvette Nicole Brown Comedy Family
vertical limit,Action Adventure Drama Thriller,Martin Campbell,Nicholas Lea,Scott Glenn,Ben Mendelsohn,Martin Campbell Nicholas Lea Scott Glenn Ben Mendelsohn Action Adventure Drama Thriller
charlie wilson's war,Biography Comedy Drama History,Mike Nichols,Philip Seymour Hoffman,Tom Hanks,Jud Tylor,Mike Nichols Philip Seymour Hoffman Tom Hanks Jud Tylor Biography Comedy Drama History
shark tale,Adventure Animation Comedy Family,Bibo Bergeron,Robert De Niro,Martin Scorsese,Angelina Jolie Pitt,Bibo Bergeron Robert De Niro Martin Scorsese Angelina Jolie Pitt Adventure Animation Comedy Family
dreamgirls,Drama Music Musical,Bill Condon,Loretta Devine,Jennifer Hudson,Anika Noni Rose,Bill Condon Loretta Devine Jennifer Hudson Anika Noni Rose Drama Music Musical
life            ,Crime Drama Mystery,Unknown,Adam Arkin,Brent Sexton,Damian Lewis,Unknown Adam Arkin Brent Sexton Damian Lewis Crime Drama Mystery
be cool,Comedy Crime Music,F. Gary Gray,Dwayne Johnson,Christina Milian,Debi Mazar,F. Gary Gray Dwayne Johnson Christina Milian Debi Mazar Comedy Crime Music
munich,Drama History Thriller,Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,Steven Spielberg Ayelet Zurer Moritz Bleibtreu Mathieu Amalric Drama History Thriller
tears of the sun,Action Drama Thriller War,Antoine Fuqua,Bruce Willis,Tom Skerritt,Cole Hauser,Antoine Fuqua Bruce Willis Tom Skerritt Cole Hauser Action Drama Thriller War
killers,Action Comedy Romance Thriller,Robert Luketic,Tom Selleck,Lisa Ann Walter,Catherine O'Hara,Robert Luketic Tom Selleck Lisa Ann Walter Catherine O'Hara Action Comedy Romance Thriller
the man from u.n.c.l.e.,Action Adventure Comedy,Guy Ritchie,Henry Cavill,Elizabeth Debicki,Christian Berkel,Guy Ritchie Henry Cavill Elizabeth Debicki Christian Berkel Action Adventure Comedy
spanglish,Comedy Drama Romance,James L. Brooks,Adam Sandler,Paz Vega,Sarah Steele,James L. Brooks Adam Sandler Paz Vega Sarah Steele Comedy Drama Romance
monster house,Animation Comedy Family Fantasy Mystery,Gil Kenan,Steve Buscemi,Jon Heder,Catherine O'Hara,Gil Kenan Steve Buscemi Jon Heder Catherine O'Hara Animation Comedy Family Fantasy Mystery
bandits,Comedy Crime Drama Romance,Barry Levinson,Bruce Willis,Brían F. O'Byrne,Azura Skye,Barry Levinson Bruce Willis Brían F. O'Byrne Azura Skye Comedy Crime Drama Romance
first knight,Action Adventure Romance Thriller,Jerry Zucker,Julia Ormond,Ben Cross,John Gielgud,Jerry Zucker Julia Ormond Ben Cross John Gielgud Action Adventure Romance Thriller
anna and the king,Drama History Romance,Andy Tennant,Bai Ling,Geoffrey Palmer,Randall Duk Kim,Andy Tennant Bai Ling Geoffrey Palmer Randall Duk Kim Drama History Romance
immortals,Action Drama Fantasy Romance,Tarsem Singh,Henry Cavill,Daniel Sharman,Steve Byers,Tarsem Singh Henry Cavill Daniel Sharman Steve Byers Action Drama Fantasy Romance
hostage,Action Crime Drama Mystery Thriller,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,Florent-Emilio Siri Jimmy Bennett Bruce Willis Ransford Doherty Action Crime Drama Mystery Thriller
titan a.e.,Action Adventure Animation Family Sci-Fi,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,Don Bluth Matt Damon Janeane Garofalo Nathan Lane Action Adventure Animation Family Sci-Fi
hollywood homicide,Action Comedy Crime Thriller,Ron Shelton,Harrison Ford,Bruce Greenwood,Lena Olin,Ron Shelton Harrison Ford Bruce Greenwood Lena Olin Action Comedy Crime Thriller
soldier,Action Drama Sci-Fi,Paul W.S. Anderson,Connie Nielsen,Sean Pertwee,Jason Scott Lee,Paul W.S. Anderson Connie Nielsen Sean Pertwee Jason Scott Lee Action Drama Sci-Fi
carriers,Drama Horror Sci-Fi Thriller,David Pastor,Christopher Meloni,Kiernan Shipka,Lou Taylor Pucci,David Pastor Christopher Meloni Kiernan Shipka Lou Taylor Pucci Drama Horror Sci-Fi Thriller
monkeybone,Animation Comedy Fantasy,Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,Henry Selick Brendan Fraser Bridget Fonda Megan Mullally Animation Comedy Fantasy
flight of the phoenix,Action Adventure Drama Thriller,John Moore,Dennis Quaid,Tony Curran,Miranda Otto,John Moore Dennis Quaid Tony Curran Miranda Otto Action Adventure Drama Thriller
unbreakable,Drama Mystery Sci-Fi Thriller,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,M. Night Shyamalan Robin Wright Bruce Willis Michael Kelly Drama Mystery Sci-Fi Thriller
minions,Action Animation Comedy Family Sci-Fi,Kyle Balda,Steve Carell,Jon Hamm,Steve Coogan,Kyle Balda Steve Carell Jon Hamm Steve Coogan Action Animation Comedy Family Sci-Fi
sucker punch,Action Fantasy,Zack Snyder,Jon Hamm,Abbie Cornish,Scott Glenn,Zack Snyder Jon Hamm Abbie Cornish Scott Glenn Action Fantasy
snake eyes,Crime Mystery Thriller,Brian De Palma,Nicolas Cage,Mike Starr,John Heard,Brian De Palma Nicolas Cage Mike Starr John Heard Crime Mystery Thriller
sphere,Drama Mystery Sci-Fi Thriller,Barry Levinson,Peter Coyote,James Pickens Jr.,Huey Lewis,Barry Levinson Peter Coyote James Pickens Jr. Huey Lewis Drama Mystery Sci-Fi Thriller
the angry birds movie,Action Animation Comedy Family,Clay Kaytis,Peter Dinklage,Josh Gad,Keegan-Michael Key,Clay Kaytis Peter Dinklage Josh Gad Keegan-Michael Key Action Animation Comedy Family
fool's gold,Action Adventure Comedy Romance Thriller,Andy Tennant,Matthew McConaughey,Ray Winstone,Alexis Dziena,Andy Tennant Matthew McConaughey Ray Winstone Alexis Dziena Action Adventure Comedy Romance Thriller
funny people,Comedy Drama,Judd Apatow,Adam Sandler,RZA,Maude Apatow,Judd Apatow Adam Sandler RZA Maude Apatow Comedy Drama
the kingdom,Action Drama Thriller,Peter Berg,Jennifer Garner,Frances Fisher,Tim McGraw,Peter Berg Jennifer Garner Frances Fisher Tim McGraw Action Drama Thriller
talladega nights: the ballad of ricky bobby,Action Comedy Sport,Adam McKay,Will Ferrell,Leslie Bibb,Gary Cole,Adam McKay Will Ferrell Leslie Bibb Gary Cole Action Comedy Sport
dr. dolittle 2,Comedy Family Fantasy,Steve Carr,Raven-Symoné,Jeffrey Jones,Kevin Pollak,Steve Carr Raven-Symoné Jeffrey Jones Kevin Pollak Comedy Family Fantasy
braveheart,Biography Drama History War,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,Mel Gibson Mhairi Calvey Patrick McGoohan James Robinson Biography Drama History War
jarhead,Action Drama War,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,Sam Mendes Jake Gyllenhaal Brian Geraghty James Morrison Action Drama War
the simpsons movie,Adventure Animation Comedy,David Silverman,Albert Brooks,Yeardley Smith,Marcia Wallace,David Silverman Albert Brooks Yeardley Smith Marcia Wallace Adventure Animation Comedy
the majestic,Drama Romance,Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,Frank Darabont Martin Landau Hal Holbrook Jeffrey DeMunn Drama Romance
driven,Action Drama Sport,Renny Harlin,Sylvester Stallone,Estella Warren,Cristián de la Fuente,Renny Harlin Sylvester Stallone Estella Warren Cristián de la Fuente Action Drama Sport
two brothers,Adventure Drama Family,Jean-Jacques Annaud,David Gant,Jean-Claude Dreyfus,Oanh Nguyen,Jean-Jacques Annaud David Gant Jean-Claude Dreyfus Oanh Nguyen Adventure Drama Family
the village,Drama Mystery Romance Thriller,M. Night Shyamalan,Bryce Dallas Howard,Judy Greer,William Hurt,M. Night Shyamalan Bryce Dallas Howard Judy Greer William Hurt Drama Mystery Romance Thriller
doctor dolittle,Comedy Family Fantasy,Betty Thomas,Oliver Platt,Raven-Symoné,Peter Boyle,Betty Thomas Oliver Platt Raven-Symoné Peter Boyle Comedy Family Fantasy
signs,Drama Sci-Fi Thriller,M. Night Shyamalan,Rory Culkin,Merritt Wever,Cherry Jones,M. Night Shyamalan Rory Culkin Merritt Wever Cherry Jones Drama Sci-Fi Thriller
shrek 2,Adventure Animation Comedy Family Fantasy Romance,Andrew Adamson,Rupert Everett,Jennifer Saunders,Conrad Vernon,Andrew Adamson Rupert Everett Jennifer Saunders Conrad Vernon Adventure Animation Comedy Family Fantasy Romance
cars,Adventure Animation Comedy Family Sport,John Lasseter,John Ratzenberger,Cheech Marin,George Carlin,John Lasseter John Ratzenberger Cheech Marin George Carlin Adventure Animation Comedy Family Sport
runaway bride,Comedy Romance,Garry Marshall,Julia Roberts,Christopher Meloni,Hector Elizondo,Garry Marshall Julia Roberts Christopher Meloni Hector Elizondo Comedy Romance
xxx,Action Adventure Thriller,Rob Cohen,Vin Diesel,Eve,Leila Arcieri,Rob Cohen Vin Diesel Eve Leila Arcieri Action Adventure Thriller
the spongebob movie: sponge out of water,Adventure Animation Comedy Family Fantasy,Paul Tibbitt,Tim Conway,Billy West,Eddie Deezen,Paul Tibbitt Tim Conway Billy West Eddie Deezen Adventure Animation Comedy Family Fantasy
ransom,Crime Thriller,Ron Howard,Lili Taylor,Delroy Lindo,Rene Russo,Ron Howard Lili Taylor Delroy Lindo Rene Russo Crime Thriller
inglourious basterds,Adventure Drama War,Quentin Tarantino,Michael Fassbender,Brad Pitt,Christoph Waltz,Quentin Tarantino Michael Fassbender Brad Pitt Christoph Waltz Adventure Drama War
hook,Adventure Comedy Family Fantasy,Steven Spielberg,Robin Williams,Julia Roberts,Bob Hoskins,Steven Spielberg Robin Williams Julia Roberts Bob Hoskins Adventure Comedy Family Fantasy
hercules,Action Adventure,Brett Ratner,Dwayne Johnson,Rufus Sewell,Ingrid Bolsø Berdal,Brett Ratner Dwayne Johnson Rufus Sewell Ingrid Bolsø Berdal Action Adventure
die hard 2,Action Thriller,Renny Harlin,Bruce Willis,John Amos,Franco Nero,Renny Harlin Bruce Willis John Amos Franco Nero Action Thriller
s.w.a.t.,Action Adventure Crime Thriller,Clark Johnson,Jeremy Renner,Josh Charles,LL Cool J,Clark Johnson Jeremy Renner Josh Charles LL Cool J Action Adventure Crime Thriller
sleepy hollow            ,Adventure Drama Fantasy Mystery Thriller,Unknown,Nicole Beharie,Katia Winter,Lyndie Greenwood,Unknown Nicole Beharie Katia Winter Lyndie Greenwood Adventure Drama Fantasy Mystery Thriller
vanilla sky,Fantasy Mystery Romance Sci-Fi Thriller,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,Cameron Crowe Tom Cruise Ivana Milicevic Noah Taylor Fantasy Mystery Romance Sci-Fi Thriller
lady in the water,Drama Fantasy Mystery Thriller,M. Night Shyamalan,Bryce Dallas Howard,Freddy Rodríguez,Bob Balaban,M. Night Shyamalan Bryce Dallas Howard Freddy Rodríguez Bob Balaban Drama Fantasy Mystery Thriller
avp: alien vs. predator,Action Horror Sci-Fi Thriller,Paul W.S. Anderson,Sanaa Lathan,Colin Salmon,Raoul Bova,Paul W.S. Anderson Sanaa Lathan Colin Salmon Raoul Bova Action Horror Sci-Fi Thriller
alvin and the chipmunks: the squeakquel,Animation Comedy Family Fantasy Music,Betty Thomas,Amy Poehler,Bridgit Mendler,Jesse McCartney,Betty Thomas Amy Poehler Bridgit Mendler Jesse McCartney Animation Comedy Family Fantasy Music
we were soldiers,Action Drama History War,Randall Wallace,Jon Hamm,Marc Blucas,Chris Klein,Randall Wallace Jon Hamm Marc Blucas Chris Klein Action Drama History War
olympus has fallen,Action Thriller,Antoine Fuqua,Gerard Butler,Morgan Freeman,Radha Mitchell,Antoine Fuqua Gerard Butler Morgan Freeman Radha Mitchell Action Thriller
star trek: insurrection,Action Adventure Sci-Fi Thriller,Jonathan Frakes,LeVar Burton,Jonathan Frakes,Michael Dorn,Jonathan Frakes LeVar Burton Jonathan Frakes Michael Dorn Action Adventure Sci-Fi Thriller
battle los angeles,Action Sci-Fi,Jonathan Liebesman,Noel Fisher,Jim Parrack,Ramon Rodriguez,Jonathan Liebesman Noel Fisher Jim Parrack Ramon Rodriguez Action Sci-Fi
big fish,Adventure Drama Fantasy,Tim Burton,Steve Buscemi,Alison Lohman,Albert Finney,Tim Burton Steve Buscemi Alison Lohman Albert Finney Adventure Drama Fantasy
wolf,Drama Horror Romance Thriller,Mike Nichols,David Hyde Pierce,Peter Gerety,Ron Rifkin,Mike Nichols David Hyde Pierce Peter Gerety Ron Rifkin Drama Horror Romance Thriller
war horse,Drama War,Steven Spielberg,Jeremy Irvine,Benedict Cumberbatch,Eddie Marsan,Steven Spielberg Jeremy Irvine Benedict Cumberbatch Eddie Marsan Drama War
the monuments men,Drama War,George Clooney,Bill Murray,Matt Damon,Bob Balaban,George Clooney Bill Murray Matt Damon Bob Balaban Drama War
the abyss,Adventure Drama Sci-Fi Thriller,James Cameron,Michael Biehn,Todd Graff,Mary Elizabeth Mastrantonio,James Cameron Michael Biehn Todd Graff Mary Elizabeth Mastrantonio Adventure Drama Sci-Fi Thriller
wall street: money never sleeps,Drama,Oliver Stone,Frank Langella,Austin Pendleton,John Buffalo Mailer,Oliver Stone Frank Langella Austin Pendleton John Buffalo Mailer Drama
dracula untold,Action Drama Fantasy Horror War,Gary Shore,Dominic Cooper,Sarah Gadon,Zach McGowan,Gary Shore Dominic Cooper Sarah Gadon Zach McGowan Action Drama Fantasy Horror War
the siege,Action Thriller,Edward Zwick,Denzel Washington,Bruce Willis,Mark Valley,Edward Zwick Denzel Washington Bruce Willis Mark Valley Action Thriller
stardust,Adventure Family Fantasy Romance,Matthew Vaughn,Henry Cavill,David Kelly,Nathaniel Parker,Matthew Vaughn Henry Cavill David Kelly Nathaniel Parker Adventure Family Fantasy Romance
seven years in tibet,Adventure Biography Drama History War,Jean-Jacques Annaud,Brad Pitt,Mako,Victor Wong,Jean-Jacques Annaud Brad Pitt Mako Victor Wong Adventure Biography Drama History War
the dilemma,Comedy Drama,Ron Howard,Channing Tatum,Clint Howard,Chelcie Ross,Ron Howard Channing Tatum Clint Howard Chelcie Ross Comedy Drama
